manufacturer,productName,releaseYear,memSize,memBusWidth,gpuClock,memClock,unifiedShader,tmu,rop,pixelShader,vertexShader,igp,bus,bus,gpuChip, units
1,114050,2023,8,128,1925,2250,3840,120,48,1,2,0,406,1506,20106,500
0,5350,2022,4,64,300,1500,768,48,24,1,2,0,408,1506,99128,600
0,5370,2022,4,64,300,1500,1024,64,32,1,2,0,408,1506,99128,256
0,5380,2022,4,64,300,1500,1024,64,32,1,2,0,408,1506,99128,965
0,5550,2022,8,128,300,1500,2048,128,64,1,2,0,406,1506,99512,234
0,5730,2022,12,192,300,1500,3072,192,96,1,2,0,406,1506,99512,778
0,5770,2022,16,256,300,1500,4096,256,128,1,2,0,406,1506,99512,231
0,5770,2022,16,256,300,1500,4096,256,128,1,2,0,406,1506,99512,600
0,5780,2022,16,256,300,1093,4096,256,128,1,2,0,406,1406,99512,234
0,38,2022,16,4096,900,1200,8192,256,128,1,2,0,406,1100,803,456
1,1550,2022,2,64,1065,1500,1024,32,16,1,2,0,408,1506,90117,455
1,1570,2022,4,64,1087,1500,2048,64,40,1,2,0,408,1506,107,900
1,113050411,2022,4,128,1545,1750,2304,72,32,1,2,0,408,1506,10107,233
1,113050811,2022,8,128,1552,1750,2560,80,32,1,2,0,408,1506,10106,500
1,1.13E+11,2022,8,128,1552,1750,2560,80,32,1,2,0,408,1506,10107,200
1,113050,2022,8,128,1515,1750,2560,80,32,1,2,0,408,1506,10106,800
1,1130601103,2022,8,256,1410,1750,4864,152,80,1,2,0,406,1506,10103,450
1,1130701,2022,8,256,915,1750,5632,176,80,1,2,0,406,1506,10104,670
1,1130801211,2022,12,384,1260,1188,8960,280,96,1,2,0,406,1406,10102,590
1,11308012011,2022,20,320,1335,1188,10240,320,112,1,2,0,406,1406,10102,210
1,1130801,2022,16,256,585,1500,7424,232,96,1,2,0,406,1506,10103,800
1,1130801,2022,16,256,810,2000,7424,232,96,1,2,0,406,1506,10103,876
1,1130901,2022,24,384,1560,1313,10752,336,112,1,2,0,406,1406,10102,234
1,114060,2022,12,192,1925,2250,5888,184,64,1,2,0,406,1506,20104,890
1,114070,2022,12,192,1925,2250,7680,240,80,1,2,0,406,1506,20104,543
1,114080,2022,16,256,1925,2250,9728,304,96,1,2,0,406,1406,20103,345
1,1140801,2022,20,320,1895,1325,14080,440,144,1,2,0,406,1406,20102,458
1,114090,2022,24,384,1815,1325,17408,544,192,1,2,0,406,1406,20102,212
1,7,2022,80,5120,1065,1000,14592,456,24,1,2,0,516,1100,107,412
1,7,2022,80,5120,1065,1500,16896,528,24,1,2,1,516,1203,107,234
0,680,2022,4,320,300,1500,640,40,20,1,2,1,600,1000,20101,456
0,696,2022,2,256,300,1500,768,48,24,1,2,1,600,1000,20101,879
3,2660,2022,4,64,1500,1500,384,24,16,1,2,1,408,1000,40,678
3,2680,2022,4,384,2000,1500,768,48,32,1,2,1,408,1000,40,654
3,26400,2022,4,64,2331,1750,768,48,32,1,2,0,404,1506,9024,345
3,26300,2022,2,32,2000,2250,768,48,32,1,2,0,404,1506,9024,389
3,26400,2022,4,64,1923,2000,768,48,32,1,2,0,404,1506,9024,654
3,26500,2022,4,64,2310,2248,1024,64,32,1,2,0,404,1506,9024,345
3,26500,2022,4,64,2000,2250,1024,64,32,1,2,0,404,1506,9024,678
3,26600,2022,4,128,1700,1750,1792,112,64,1,2,0,408,1506,9023,876
3,26650,2022,8,128,2055,2190,2048,128,64,1,2,0,408,1506,9023,913
3,26650,2022,8,128,2068,2000,1792,112,64,1,2,0,408,1506,9023,234
3,26650,2022,8,128,2068,2000,2048,128,64,1,2,0,408,1506,9023,345
3,26700,2022,8,128,1700,1750,1792,112,64,1,2,0,408,1506,9023,678
3,26750,2022,12,192,2150,2250,2560,160,64,1,2,0,406,1506,9023,213
3,26800,2022,8,128,1800,2000,2048,128,64,1,2,0,408,1506,9023,256
3,26850,2022,12,192,2321,2000,2560,160,64,1,2,0,406,1506,9022,654
3,26950,2022,16,256,1925,2250,5120,320,128,1,2,0,406,1506,9021,421
3,27700,2022,8,128,1800,2250,4096,256,128,1,2,0,516,1506,9033,346
3,27800,2022,12,192,1800,2250,8192,512,192,1,2,0,516,1506,9032,787
3,27900,2022,16,256,1800,2250,12288,768,256,1,2,0,516,1506,9031,789
1,15500,2022,24,384,1170,2000,10240,320,96,1,2,0,406,1506,10102,765
1,155005,2022,16,256,900,1750,7424,232,96,1,2,0,406,1506,101035,345
3,19234,2022,16,128,1000,1375,512,32,8,1,2,0,400,1300,90,235
0,91948,2022,4,384,300,1375,384,24,12,1,2,1,600,1000,20101,654
0,91964,2022,4,384,300,1563,512,32,16,1,2,1,600,1000,20101,678
0,9710,2022,4,128,300,1593,128,8,8,1,2,1,600,1000,20101,546
0,9730,2022,4,128,300,1563,192,12,8,1,2,1,600,1000,20101,456
1,10,2021,24,384,885,1563,9216,288,96,1,2,1,406,1506,10102,678
1,1008011,2021,80,5120,1065,1593,6912,432,160,1,2,1,406,1100,10100,234
1,10,2021,12,384,1320,1563,9216,288,96,1,2,0,406,1506,10102,157
1,16,2021,16,128,885,1812,1280,40,32,1,2,0,408,1506,10107,654
1,2,2021,16,128,1440,1563,1280,40,32,1,2,0,408,1506,10107,345
1,30,2021,24,3072,930,1215,3584,224,96,1,2,0,406,1203,10100,621
0,31,2021,16,4096,900,1200,6144,192,96,1,2,0,406,1100,601,894
0,32,2021,16,4096,900,1200,7680,240,120,1,2,0,406,1100,601,356
1,4170,2021,16,4096,1140,1458,4480,280,128,1,2,0,404,1100,10100,675
1,41930,2021,6,192,1530,1750,1408,88,48,1,2,0,304,1506,70116,441
